Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD80	CD80	579.19	725.54	0.32451679845239	10.62	22.88	1.03919276786028	65.22	102.77	0.648050503697085
CD86	CD86	3755.98	7668.58	1.02957413939343	27.51	37.15	0.42021501778394	123.43	162.58	0.394662008577023
CD274	CD274	538.72	3270.97	2.59987646629115	10.08	33.3	1.63025069501099	54.81	87.53	0.665642775102817
CD273	PDCD1LG2	223.93	223.98	0.00032066303190145	0	0.23	0.298658315564515	52.77	76.39	0.525345688006141
CD275-1	ICOSLG	384.07	321.59	-0.255419013216089	12.8	3.17	-1.72654897822087	NA	0	NA
CD11b-1	ITGAM	1280.8	935.5	-0.452820275388596	1.36	0.68	-0.490325626583081	40.54	43.15	0.0879122216911806
Galectin-9	LGALS9	404.3	292.49	-0.465678827743425	34.32	29.22	-0.224981682483637	32.84	29.24	-0.162271428898877
CD270	TNFRSF14	1129.57	815.17	-0.470108732814054	112.24	111.45	-0.0100999932405678	44.16	65.15	0.550695670393038
CD252	TNFSF4	195.46	195.76	0.00220135596480797	6.27	2.72	-0.966652742811563	61.15	53.53	-0.188704235820574
CD155(PVR)	PVR	207.12	210.85	0.0256275162745601	0	0.91	0.933572638261024	10.64	10.38	-0.032590500601702
CD112(Nectin-2)	NECTIN2	529.12	539.36	0.0276019128773588	0.54	0	-0.622930350920177	7.02	14.86	0.983718629249058
CD47	CD47	12589.9	12643	0.0060715294879657	216.03	281.8	0.381887640335905	122.3	153.34	0.323939211117861
CD70	CD70	416.99	665.73	0.673634216027468	63.47	73.85	0.215374332796839	48.92	54.19	0.144788951329447
CD30	TNFRSF8	354.23	342	-0.0505448493878788	0.82	3.4	1.27356507332596	51.64	65.05	0.327399072398948
CD48	CD48	28306.52	27112.81	-0.0621575081859562	372.67	204.78	-0.86066197014792	97.61	98.58	0.0141220582645829
CD40	CD40	929.31	1783.15	0.939453473444693	262.34	344.32	0.391007217572726	73.83	67.15	-0.134903118085523
CD154	CD40LG	333.32	299.59	-0.153432649164003	4.09	41.68	3.06782261474873	2.26	11.24	1.90865968846157
CD52	CD52	10116.77	6552.76	-0.626496601700053	475.37	86.31	-2.44786375386066	35.33	21.91	-0.66518390711081
CD3-1	CD3E	3802.28	865.75	-2.1335563185049	59.93	60.94	0.0237186426573538	6.11	11.14	0.771846956636267
CD4-1	CD4	30232.35	31912.59	0.0780300629873303	5.72	6.12	0.0834160081876375	12.68	19.24	0.565141059808412
CD8	CD8A	4643.11	3851.68	-0.269539782090026	10.08	13.36	0.374097867773863	20.61	36.95	0.812400813443321
CD56(NCAM)	NCAM1	592.56	510.61	-0.214349408423656	0.82	0.68	-0.115477217419936	19.25	27.72	0.504133841163702
CD45-1	PTPRC	932.39	846.58	-0.139130465451897	572.63	352.02	-0.700370556551461	292.15	302.12	0.0482499882248731
CD3-2	CD3E	3575.26	291.25	-3.61317669677333	59.93	60.94	0.0237186426573538	6.11	11.14	0.771846956636267
CD19	CD19	70605.47	47180.53	-0.581578187456535	45.49	62.75	0.455504916114618	39.63	32.1	-0.295714147536508
CD11c	ITGAX	950.57	897.87	-0.0821973092873763	4.36	2.94	-0.444037371001396	19.48	27.14	0.458406613236533
CD34	CD34	331.6	403.77	0.283314198346042	0	0.23	0.298658315564515	28.31	24.76	-0.186260374574924
CD138-1(Syndecan-1)	SDC1	545.24	373.77	-0.543529492294094	0	0	0	3.62	7.62	0.899795017673041
CD269(BCMA)	TNFRSF17	167.69	150.33	-0.156676433691261	27.51	2.27	-3.12410549843987	36.69	18.19	-0.973827083468976
CD90(Thy1)	THY1	640.23	405.37	-0.658048023659871	0.27	0	-0.344828496997441	0.91	1.9	0.602480261979186
CD117(c-kit)	KIT	291.82	217.41	-0.422975182788991	0	0	0	33.07	23.43	-0.47984808382909
CD45RA	PTPRC	5363.24	3512.16	-0.610604503131979	572.63	352.02	-0.700370556551461	292.15	302.12	0.0482499882248731
CD123	IL3RA	861.07	1704.7	0.984487000628675	1.09	3.62	1.14438990933518	17.44	25.24	0.508929064188746
CD105	CD7	1223.53	318.22	-1.93960517093564	34.87	67.28	0.928685313070214	2.04	4.86	0.946829340978663
CD201	PROCR	329.89	397.91	0.269711597939765	1.36	0.91	-0.305214221326093	7.02	7.33	0.0547142589106273
CD194	CCR4	1214.62	1250	0.0413894733812854	5.18	13.14	1.19410337690502	1.81	8.38	1.73901779229445
CD4-2	CD4	906.68	1638.32	0.852841825933122	5.72	6.12	0.0834160081876375	12.68	19.24	0.565141059808412
CD44-1	CD44	7390.57	8261.54	0.160704519600238	197.23	182.35	-0.112575049532408	258.41	260.11	0.00942361595997139
CD8a	CD8A	23339.01	32787.92	0.490403203921565	10.08	13.36	0.374097867773863	20.61	36.95	0.812400813443321
CD14	CD14	1011.61	890.77	-0.183335064789915	0.27	0.23	-0.0461701814329261	10.19	16.29	0.627727832665888
CD16	FCGR3A	471.86	469.97	-0.00577794151891663	1.63	0.68	-0.646601566513542	4.76	9.14	0.815916935561028
CD56(NCAM)Recombinant	NCAM1	556.21	739.92	0.411096627995341	0.82	0.68	-0.115477217419936	19.25	27.72	0.504133841163702
CD25	IL2RA	10182.27	37400.11	1.87688018070845	38.96	441.5	3.46904896695267	195.45	268.68	0.457086364638161
CD45RO	PTPRC	1379.9	1353.47	-0.0278804085880649	572.63	352.02	-0.700370556551461	292.15	302.12	0.0482499882248731
CD279	PDCD1	1942.63	3466.73	0.835237967848703	2.45	8.38	1.44299156084985	18.57	21.43	0.196785864459468
TIGIT	TIGIT	352.86	477.6	0.435641706780775	15.26	53.01	1.73189929087696	124.56	137.53	0.141821505523001
Rat-IgG2b-IsotypeCtrl	NA	109.05	48.27	-1.15937776846674	NA	NA	NA	NA	NA	NA
CD20	MS4A1	9551.64	3458.56	-1.46531093426247	918.33	512.85	-0.839235542041371	94.89	76.67	-0.304022904001135
CD335	NCR1	1152.89	878.53	-0.391701006120648	0.54	0.23	-0.324272035355662	0.91	1.71	0.504720213318123
CD294	PTGDR2	301.77	190.79	-0.658694763126942	0	0	0	0.45	3.52	1.64026987240025
CD31	PECAM1	15580.83	8834.98	-0.818402621617572	7.9	1.59	-1.78085323816721	101.01	63.43	-0.662906086082158
CD44-2	CD44	8604.84	9131.37	0.0856732939448866	197.23	182.35	-0.112575049532408	258.41	260.11	0.00942361595997139
CD133-1	PROM1	621.02	612.49	-0.0199211406332206	0	0	0	18.8	30.95	0.690315500867385
Podoplanin	PDPN	183.8	103.83	-0.817913113756181	0	0	0	4.76	1.71	-1.08777596008844
CD140a	PDGFRA	222.55	199.67	-0.155772594781875	0	0	0	7.93	17.62	1.06012099243757
CD140b	PDGFRB	233.53	202.15	-0.207227112896448	3.81	1.36	-1.0272500344082	26.95	22.1	-0.274955431427132
Cadherin11	CDH11	324.74	287.7	-0.174149782127096	0	0	0	9.74	8.38	-0.195334165470036
CD340	ERBB2	575.42	520.91	-0.143319348633695	1.63	0.23	-1.09640448395306	33.74	41.15	0.278934877119052
