Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	diff_protein_CLR	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD80	CD80	592.2	438.31	-0.433279257965312	0.126748597780425	0.66	0.81	0.124806455736281	11.43	16.27	0.474441786476439
CD86	CD86	1446.57	1553.8	0.103095898626307	0.285685851009736	0.07	0.54	0.525319554293754	15.13	25.58	0.720594666120532
CD274	CD274	665.27	4808.32	2.85165408243665	1.25949984941709	8.24	27.18	1.60870685489358	42.02	81.48	0.939036807945048
CD273	PDCD1LG2	444.77	345.36	-0.364027200042753	0.130277063824811	0.2	0.09	-0.138706270831592	60.12	66.94	0.152616674843452
CD275-1	ICOSLG	414.73	387.1	-0.0992184266733433	0.196173679222472	1.33	1.08	-0.163746426513188	NA	0	NA
CD11b-1	ITGAM	2148.56	1293.55	-0.731590692193213	-0.0239948653180851	0.6	0.18	-0.439285045525521	14.96	19.92	0.390422200024596
Galectin-9	LGALS9	889.17	487.18	-0.866667689441818	-0.131249359372906	10.97	16.22	0.524661990453342	20.45	19.1	-0.0937821463206168
CD270	TNFRSF14	845.21	706.63	-0.258020522261389	0.266296824185288	104.65	97.05	-0.107703231742792	33	41.96	0.337459246960349
CD252	TNFSF4	325.17	260.99	-0.316112347985187	0.131799250303622	1.13	0.76	-0.275278001588541	40.01	28.27	-0.486552997918466
CD155(PVR)	PVR	256.04	244.04	-0.0689756138724545	0.190016623347547	0.4	1.98	1.0898855035172	14.51	13.76	-0.0715059649756947
CD112(Nectin-2)	NECTIN2	413.27	422.79	0.0327781963077719	0.29519268581235	0.33	0.9	0.514573172829758	23.76	30.6	0.351913243850201
CD47	CD47	16873.83	15394.22	-0.132390484415266	0.597255344331333	159.9	268.96	0.746581332782488	125.68	154.29	0.293776156957257
CD70	CD70	324.17	327.07	0.0128095129027081	0.232125059486811	6.78	24.31	1.70186544712449	16.92	30.1	0.795343942960361
CD30	TNFRSF8	653.83	456.8	-0.516402955222361	0.0544445998625367	0	1.12	1.08406426478847	51.38	59.27	0.202424005103852
CD48	CD48	35390.64	32258.51	-0.133684090715038	0.526021648953859	548.66	228.3	-1.26130314009941	102.93	107.64	0.0639432280085896
CD40	CD40	174.81	361.42	1.04364543940715	0.533154781424778	3.06	4.94	0.548983203615589	8.46	10.89	0.32983662640626
CD154	CD40LG	661.61	440.24	-0.586596394122016	0.00689173127300662	41.36	85.91	1.03681959599922	48.69	49.31	0.0178896477353928
CD52	CD52	12261.7	10063.82	-0.284955295223934	0.271124142901453	835.03	155.28	-2.41942155209619	28.02	21.93	-0.339811164485951
CD3-1	CD3E	28776.75	1061.41	-4.75954126236288	-1.87307739221923	424.2	215.31	-0.975041234311034	51.88	49.02	-0.0802171193267217
CD4-1	CD4	283545.65	157179.38	-0.851164966686227	-0.182885579087435	42.15	18.11	-1.17503278108886	64.71	47.62	-0.434563048757506
CD8	CD8A	8101.03	8850.28	0.127602674074734	0.253255469193467	15.43	43.9	1.45038296467843	35.13	60.45	0.76621575582758
CD56(NCAM)	NCAM1	1270.84	840.77	-0.595419188906923	0.0243348728492276	0.27	0.54	0.278101853922736	40.79	42.32	0.0518754842859182
CD45-1	PTPRC	1241.99	1028.25	-0.272221241127481	0.306308130010812	1491.74	877.51	-0.764832290494749	403.98	411.72	0.0273126895646861
CD3-2	CD3E	32534.05	641.94	-5.66116685099685	-1.93407795105527	424.2	215.31	-0.975041234311034	51.88	49.02	-0.0802171193267217
CD19	CD19	3521.68	4810.2	0.449723346554192	0.409999997583429	0.13	0.49	0.398989558046974	16.47	21.28	0.350869624423273
CD11c	ITGAX	1343	1151.23	-0.222104412014022	0.136728373029527	0.27	0.45	0.191224403242769	8.4	13.8	0.654864513951313
CD34	CD34	720.76	583.6	-0.304069362025938	0.136129152469863	0.27	0.04	-0.288244968631074	41.18	37.66	-0.125717457582456
CD138-1(Syndecan-1)	SDC1	741.55	519.85	-0.511620224380076	0.0342924013352478	0	0	0	5.32	9.67	0.755563712647322
CD269(BCMA)	TNFRSF17	373.25	257.42	-0.534284586870127	0.0559939715306137	0.07	0.45	0.438442103613787	0.67	1	0.260151897300673
CD90(Thy1)	THY1	1074.69	652.7	-0.718561769379939	-0.0553680376050321	0	0	0	3.03	3.55	0.175086706558091
CD117(c-kit)	KIT	799.61	359.88	-1.14958044461589	-0.0767981810080204	0.27	0	-0.344828496997441	17.48	15.05	-0.203391459406392
CD45RA	PTPRC	3680.56	3636.32	-0.0174413587770401	0.396304848920048	1491.74	877.51	-0.764832290494749	403.98	411.72	0.0273126895646861
CD123	IL3RA	1180.27	1475.03	0.321383288460621	0.266968269473774	1.4	0.9	-0.337034987277571	17.54	24.8	0.476729821685086
