T0-ATAC-rep1.proatac	T0-ATAC-rep2.proatac	T0-ATAC-rep3.proatac	T24H-ATAC-rep1.proatac	T24H-ATAC-rep2.proatac	T24H-ATAC-rep3.proatac
16	17	19	8	6	7
37	42	114	49	21	38
10	12	34	25	16	22
23	19	42	30	20	27
12	12	33	15	6	12
24	32	90	30	22	47
20	17	36	32	15	16
24	22	33	41	21	42
11	39	41	30	20	23
18	18	25	26	11	22
40	28	117	39	17	48
41	44	93	51	21	47
23	21	52	54	29	40
31	30	63	31	17	19
34	33	60	39	20	36
35	26	62	82	37	76
24	32	54	27	24	15
31	30	74	42	21	27
20	19	40	23	22	33
16	8	34	20	8	19
75	45	188	111	41	65
28	19	45	51	27	43
20	23	25	18	13	18
20	31	42	25	16	21
40	27	66	50	17	47
20	27	53	57	41	44
52	57	146	74	50	60
25	26	31	33	26	27
42	39	113	43	20	47
28	28	71	29	23	27
39	38	140	62	39	27
34	24	101	42	24	30
40	30	75	61	13	46
38	30	76	20	12	32
43	48	135	66	56	65
56	40	166	59	34	49
32	46	114	65	27	45
19	27	37	17	24	28
19	15	53	31	22	44
38	31	89	90	29	37
48	36	146	70	31	52
6	10	41	12	11	13
24	27	82	27	18	28
60	44	223	82	46	61
34	38	70	38	10	20
32	37	101	35	19	28
15	31	130	34	22	44
12	30	24	29	15	23
14	20	30	20	23	21
11	14	75	32	7	24
40	27	159	59	30	50
8	12	22	6	5	5
35	26	67	48	16	38
22	26	55	32	20	17
35	44	92	42	29	39
58	42	139	53	27	54
55	55	158	55	31	50
21	21	39	36	17	26
44	40	72	66	28	37
49	55	141	67	41	62
13	16	32	14	11	20
19	19	43	17	17	19
18	15	44	18	8	16
12	17	31	35	13	23
35	22	52	36	18	27
40	36	111	49	41	54
35	25	68	57	38	58
32	32	77	30	23	31
27	18	51	21	21	27
59	59	169	92	36	90
33	42	77	18	17	31
60	32	392	32	21	56
31	30	59	37	30	43
39	42	99	66	30	52
62	46	180	51	31	56
22	25	47	35	22	19
33	26	46	37	23	31
43	46	172	85	46	63
38	39	110	76	43	64
45	50	124	91	31	62
38	45	99	54	34	42
37	41	94	49	29	37
36	37	131	67	29	55
31	17	43	42	19	41
31	25	49	37	28	45
28	34	78	51	23	67
25	26	64	17	16	28
33	32	101	49	30	46
59	42	99	58	27	62
43	38	91	40	30	47
15	19	30	10	17	16
15	15	32	13	13	36
17	32	28	16	10	20
7	4	59	15	9	18
9	19	33	9	9	15
13	9	8	8	25	8
19	17	25	23	16	27
21	25	66	36	24	26
12	21	42	15	18	18
48	40	116	53	27	51
24	28	57	40	27	39
21	22	47	33	23	29
27	28	82	54	35	37
37	33	103	60	22	40
68	59	188	117	40	75
69	69	332	96	47	117
9	9	22	10	6	20
17	10	28	16	13	22
58	41	164	80	44	72
33	27	107	70	34	51
28	21	71	33	24	38
20	19	24	18	16	34
20	18	27	15	17	14
42	34	131	47	45	68
18	28	27	41	21	28
28	18	64	35	31	54
20	22	36	24	11	29
27	27	49	22	11	19
16	13	39	21	15	30
11	18	43	17	11	22
50	44	152	81	38	66
25	21	56	32	15	22
29	24	54	25	15	21
37	28	124	42	27	39
18	26	41	35	19	27
27	21	49	29	21	35
21	21	51	42	15	48
28	30	86	21	16	32
45	40	115	63	24	51
30	26	87	47	32	44
71	64	148	91	45	74
28	29	92	31	30	37
41	37	179	73	25	67
20	22	105	59	28	32
40	32	75	56	37	49
44	48	84	51	32	45
55	55	255	105	42	119
38	21	51	32	20	24
20	20	46	18	15	34
25	20	30	16	17	20
38	32	99	36	18	31
31	24	60	32	11	42
57	48	135	69	31	54
8	6	22	12	10	11
11	8	14	27	13	35
9	7	26	25	11	30
11	12	14	18	20	37
8	10	46	36	26	43
25	29	44	51	27	45
58	68	232	107	57	117
27	38	60	57	21	33
2	6	13	24	10	11
28	21	99	23	16	24
17	12	51	16	11	21
16	24	17	23	7	15
31	25	42	43	19	29
19	25	38	27	17	24
21	13	48	11	10	23
33	42	54	32	21	25
31	31	62	51	34	55
16	16	36	18	12	23
18	10	20	19	8	25
7	9	5	29	20	32
16	20	65	15	15	38
16	38	74	53	27	49
42	38	175	59	35	63
11	6	14	49	30	67
5	6	11	24	16	23
28	23	107	22	13	23
15	23	39	30	16	23
43	47	119	39	19	49
24	15	26	26	18	29
15	18	39	29	13	28
63	53	200	111	48	94
29	26	69	63	32	50
13	19	32	57	35	54
10	9	41	20	13	19
8	23	32	11	7	19
16	18	78	23	13	41
18	22	49	20	21	17
25	15	29	15	17	21
14	27	38	21	11	25
31	30	63	29	15	36
17	27	51	26	15	23
12	17	43	16	11	24
55	37	83	58	28	47
14	19	36	19	16	31
16	14	40	12	16	21
29	20	54	40	16	28
9	10	8	28	20	18
14	24	23	29	16	39
32	32	71	27	23	32
51	41	138	60	41	71
23	30	39	34	22	21
32	44	109	73	38	58
46	38	81	48	26	26
16	24	45	35	31	27
43	49	99	59	33	59
25	51	83	46	25	44
15	27	67	41	27	42
27	35	54	19	22	30
37	40	121	41	30	54
24	22	58	37	23	22
22	22	53	26	27	29
19	25	74	46	19	48
15	17	49	24	13	24
33	37	80	35	28	39
18	27	59	17	17	18
8	12	29	10	6	7
18	33	40	22	19	27
14	18	35	24	20	10
5	11	8	25	15	16
56	75	365	131	58	125
14	15	47	23	19	14
24	33	86	47	34	38
22	18	74	29	24	21
62	67	225	95	48	75
2	6	7	27	17	29
28	35	138	72	26	68
50	44	146	69	38	77
17	11	38	23	15	24
35	37	86	43	29	34
26	26	113	44	29	54
26	29	86	54	30	38
22	19	57	38	20	55
15	21	38	14	17	22
19	19	44	40	24	48
20	26	48	26	15	20
38	30	81	49	21	36
17	15	22	25	11	13
26	17	33	26	9	17
16	19	30	16	11	19
40	45	139	54	33	48
33	36	63	55	29	32
19	11	43	25	12	33
8	15	11	33	21	24
48	54	117	97	57	73
25	26	89	44	27	37
46	40	251	89	43	86
34	28	65	45	31	40
10	12	27	20	9	12
22	14	42	19	27	21
23	21	49	28	17	36
31	21	66	36	20	37
37	43	112	50	26	56
26	30	86	33	24	36
50	52	162	72	37	70
13	26	32	21	11	19
11	16	29	16	11	20
32	29	169	52	32	72
42	32	127	42	30	71
25	27	53	26	18	35
19	26	63	39	25	41
43	60	152	80	38	62
30	27	104	59	39	60
6	11	19	60	20	30
13	11	33	17	14	25
19	21	40	36	26	39
29	24	39	45	29	38
35	32	116	41	23	37
34	48	192	85	40	61
22	19	58	34	27	35
31	25	75	46	31	34
6	1	21	6	8	5
17	19	35	44	48	64
10	10	14	54	32	58
4	13	23	31	22	45
12	16	87	70	29	97
10	14	18	46	32	39
11	19	20	29	17	26
24	32	92	50	33	58
10	6	8	15	18	28
12	15	34	21	21	24
26	26	47	42	22	45
27	30	78	31	29	47
6	18	39	12	11	20
27	32	53	45	19	39
33	19	109	25	9	22
14	18	43	12	15	18
31	32	180	38	24	45
54	52	165	64	26	72
12	10	22	13	17	18
5	10	9	25	17	45
34	43	134	53	25	39
9	16	36	29	14	39
44	46	153	52	33	64
41	35	116	68	41	74
19	21	43	16	15	17
17	23	23	29	19	24
26	25	87	37	21	29
44	48	137	59	26	58
23	39	48	29	14	19
14	26	39	27	18	30
15	25	28	22	14	19
13	11	26	19	15	18
27	46	166	57	37	63
32	32	90	60	25	54
63	64	141	74	25	52
4	10	15	25	22	34
28	22	65	56	28	42
14	17	34	95	46	86
34	33	110	56	31	46
7	12	27	10	10	14
15	16	55	13	18	37
23	14	36	29	18	20
22	30	34	28	15	34
16	14	44	15	12	16
17	27	42	15	14	20
14	18	45	20	16	20
24	20	46	22	15	23
62	51	140	78	45	66
30	31	70	33	32	35
19	28	77	32	21	22
34	27	74	54	28	42
15	17	34	20	13	16
45	42	133	55	35	47
35	51	229	72	36	66
32	37	114	65	37	45
14	15	39	33	18	26
29	29	95	42	20	46
29	23	76	27	23	25
24	36	51	58	13	37
11	5	25	32	14	31
30	39	28	22	20	28
58	66	105	137	74	97
23	35	50	40	42	56
62	72	121	89	53	79
3	15	15	28	18	33
36	37	30	24	17	35
20	29	33	26	23	34
21	14	42	21	16	28
20	19	44	50	17	37
30	28	106	45	26	45
84	49	295	115	42	112
102	52	182	135	37	88
20	21	37	40	17	27
36	41	107	56	35	42
52	38	162	60	36	62
3	8	23	30	7	17
15	18	33	26	12	15
27	21	36	53	19	29
31	35	80	40	21	44
13	12	16	14	7	23
16	16	27	13	12	16
13	17	38	26	16	17
43	36	166	60	44	73
27	25	78	78	35	64
29	16	57	27	17	28
44	33	110	34	12	26
60	44	170	77	34	54
10	10	28	11	8	7
15	9	24	39	32	40
25	31	68	17	22	26
5	13	22	7	6	13
52	45	158	68	35	56
11	19	38	19	21	20
38	37	96	59	36	43
17	11	12	21	8	13
39	30	58	66	19	40
17	19	45	24	18	24
24	19	68	14	14	22
20	36	71	15	14	20
13	24	63	17	11	24
26	15	39	22	19	32
14	18	47	13	11	18
65	62	171	96	56	58
15	22	32	18	11	22
36	42	154	80	41	67
48	40	136	44	16	44
6	8	25	9	6	10
40	35	60	38	25	32
18	29	44	33	19	23
5	10	38	21	10	19
17	20	38	15	20	21
8	11	23	13	7	13
17	15	41	26	13	25
24	21	40	35	25	24
41	29	140	59	35	59
12	14	27	18	10	22
18	19	26	30	26	30
23	16	36	19	21	39
15	10	22	12	13	15
