Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD80	CD80	563.34	464.52	-0.277721459157361	0.5	1.34	0.641546029087523	11.13	15.96	0.483556619442689
CD86	CD86	1591.45	1754.03	0.140247616549873	0.35	1.68	0.989273593406941	16.3	24.19	0.542079084210154
CD274	CD274	619.47	4730.42	2.93083986987791	7.27	27.44	1.78196223044814	39.75	77.93	0.953773689881243
CD273	PDCD1LG2	423.97	348.77	-0.280954446683354	0.2	0.15	-0.0614005446641434	53.9	63.39	0.230030500745603
CD275-1	ICOSLG	424.21	412	-0.0420337446240206	1.61	1.08	-0.327466278428792	NA	0	NA
CD11b-1	ITGAM	2054.87	1291.57	-0.66950662787909	1.45	0.71	-0.518785424116673	20.19	21.52	0.0878232397080599
Galectin-9	LGALS9	854.6	535.62	-0.673035657194285	9.03	14.6	0.63722442313743	18.12	18.22	0.00752581279300178
CD270	TNFRSF14	783.51	709.84	-0.14226697087261	104.36	101.77	-0.0359080675736679	33.87	43.63	0.356027442475151
CD252	TNFSF4	318.99	269.36	-0.243145100781019	1.76	0.86	-0.569365645670138	41.7	30.14	-0.455467125428816
CD155(PVR)	PVR	259.87	249.34	-0.0594422168941931	0.4	1.75	0.974004791467056	13.75	13.67	-0.00784608346317608
CD112(Nectin-2)	NECTIN2	409.8	443.61	0.114104215625045	0.85	1.01	0.119670230662616	22.42	28.92	0.353369099386421
CD47	CD47	14647.75	14312.69	-0.0333819227382568	154.73	263.42	0.763784408885608	124.81	151.55	0.278035580616449
CD70	CD70	318.13	340.43	0.0974455910311581	6.42	27.07	1.91953797189172	20.99	29.96	0.493557867289442
CD30	TNFRSF8	667.65	504.67	-0.403055050265962	0	1.15	1.10433665981474	52.71	57.48	0.122752589796903
CD48	CD48	31818.25	30513.16	-0.0604209546726677	544.1	237.2	-1.19434750709116	107	109.14	0.028307201212685
CD40	CD40	170.76	382.78	1.15988543374237	4.42	10.87	1.13095517828803	8.82	10.13	0.180658663027266
CD154	CD40LG	612.2	448.63	-0.447619399410911	32.21	80.21	1.29003966543341	38.52	43.75	0.179304735454304
CD52	CD52	10748.59	9578.29	-0.166291000010882	891.69	171.48	-2.37173018160783	29.21	22.11	-0.38650892426031
CD3-1	CD3D	25491.43	1062.32	-4.58342116304257	645.2	698.95	0.11527111812803	63.48	52.93	-0.257763710017407
CD4-1	CD4	202787.1	131988.94	-0.619545020130663	33.06	16.5	-0.960723512958851	51.71	42.41	-0.280049269476652
CD8	CD8A	21542.13	14590.43	-0.562106595942669	68.98	71.42	0.0494455122363281	86.89	86.58	-0.00509757711262306
CD56(NCAM)	NCAM1	1175.23	826.78	-0.506850895196005	0.75	0.63	-0.102482957601251	41.97	40.75	-0.0415535795251616
CD45-1	PTPRC	1171.51	1015.33	-0.206231309203804	1598.64	938.42	-0.767905048578721	408.53	419.3	0.0374503165505267
CD3-2	CD3E	28507.04	655.89	-5.4395732403102	434.73	220.41	-0.976714063165907	54.57	49.25	-0.145182643996835
CD19	CD19	3549.39	5140.95	0.534338072393484	0.15	1.12	0.882430403618824	16.61	19.94	0.2498665330996
